language,n
American Sign Language,59
British Sign Language,161
Cantonese,987
Croatian,627
Czech,493
Danish,6112
English (American),7955
English (Australian),1497
English (British),23129
French (French),863
French (Quebecois),1364
German,1181
Greek (Cypriot),176
Hebrew,540
Italian,1400
Kigiriama,206
Kiswahili,128
Korean,1988
Latvian,683
Mandarin (Beijing),1938
Mandarin (Taiwanese),2654
Norwegian,12225
Portuguese (European),4326
Russian,1805
Slovak,1715
Spanish (European),1005
Spanish (Mexican),1934
Swedish,1367
Turkish,3537
